,Date,AdjClose,Comp,Pos,Neg,Neu,TextBlobPolarity
0,2020-01-02,298.8299560546875,0.9992,0.145,0.063,0.791,0.10799239847454134
1,2020-01-03,295.9247131347656,0.9987,0.107,0.061,0.832,0.12107499261113723
2,2020-01-06,298.28271484375,0.9964,0.086,0.049,0.865,0.11908424862557095
3,2020-01-07,296.8798828125,0.9311,0.073,0.06,0.867,0.1280240051850222
4,2020-01-08,301.6555480957031,0.9945,0.092,0.061,0.847,0.07791806311967608
5,2020-01-09,308.06298828125,0.9978,0.1,0.048,0.852,0.08643163621039728
6,2020-01-10,308.7593994140625,0.9983,0.115,0.043,0.842,0.15865834268612047
7,2020-01-13,315.3558654785156,0.9975,0.097,0.029,0.875,0.12505916305916306
8,2020-01-14,311.0975341796875,0.9993,0.133,0.035,0.831,0.12343133134395268
9,2020-01-15,309.7643127441406,0.9334,0.094,0.079,0.827,0.0768888578565998
10,2020-01-16,313.6445617675781,0.9988,0.12,0.042,0.838,0.14294789411976913
11,2020-01-17,317.116943359375,0.9962,0.087,0.039,0.874,0.12534526162243562
12,2020-01-21,314.9678649902344,0.9987,0.096,0.034,0.871,0.09558203264625284
13,2020-01-22,316.0921630859375,0.9956,0.087,0.028,0.886,0.15491149357654213
14,2020-01-23,317.6144104003906,0.9994,0.129,0.054,0.817,0.14509844752948206
15,2020-01-24,316.69903564453125,0.9989,0.116,0.039,0.845,0.12368466410133076
16,2020-01-27,307.38641357421875,0.999,0.109,0.041,0.849,0.12300367621796195
17,2020-01-28,316.0821838378906,0.9994,0.121,0.056,0.823,0.16733006496087893
18,2020-01-29,322.6985168457031,0.9987,0.11,0.058,0.831,0.13405564701339345
19,2020-01-30,322.23089599609375,0.9938,0.11,0.077,0.813,0.08429220557220558
20,2020-01-31,307.943603515625,0.9994,0.118,0.033,0.849,0.12343224317539393
21,2020-02-03,307.097900390625,0.9977,0.097,0.046,0.858,0.1028235789265201
22,2020-02-04,317.2362976074219,0.9911,0.093,0.065,0.842,0.09533154946540778
23,2020-02-05,319.82318115234375,0.9994,0.129,0.044,0.826,0.12637339932794484
24,2020-02-06,323.5641174316406,0.9977,0.088,0.037,0.875,0.1348953016303763
25,2020-02-07,319.166015625,0.9977,0.096,0.053,0.851,0.09977001393668061
26,2020-02-10,320.6819152832031,0.9977,0.094,0.043,0.863,0.15122784448256144
27,2020-02-11,318.74713134765625,0.997,0.094,0.052,0.854,0.07330000000000002
28,2020-02-12,326.3166809082031,0.9986,0.102,0.036,0.862,0.10688418577307465
29,2020-02-13,323.9929504394531,0.9974,0.092,0.049,0.859,0.056272721209695994
30,2020-02-14,324.07275390625,0.9993,0.142,0.039,0.819,0.13339038792922286
31,2020-02-18,318.1387939453125,0.9825,0.091,0.083,0.826,0.08785114596802907
32,2020-02-19,322.746337890625,0.9981,0.099,0.051,0.85,0.09619354256854258
33,2020-02-20,319.4352722167969,0.9973,0.108,0.067,0.825,0.10589762990205469
34,2020-02-21,312.2048645019531,0.9995,0.151,0.057,0.792,0.15869924898333995
35,2020-02-24,297.375,0.4936,0.071,0.07,0.859,0.10093520720281282
36,2020-02-25,287.3022766113281,0.9374,0.078,0.074,0.847,0.10938727714937392
37,2020-02-26,291.85992431640625,0.9758,0.104,0.099,0.797,0.09984572510822509
38,2020-02-27,272.7815856933594,0.9973,0.094,0.05,0.855,0.13574798739272426
39,2020-02-28,272.62200927734375,0.9976,0.107,0.062,0.832,0.11847738277048624
40,2020-03-02,298.0032958984375,0.9973,0.134,0.082,0.784,0.11858243145743148
41,2020-03-03,288.5389404296875,0.9953,0.106,0.079,0.816,0.1418778922227198
42,2020-03-04,301.9226989746094,0.9994,0.117,0.053,0.83,0.1475352262116968
43,2020-03-05,292.12921142578125,0.9901,0.09,0.066,0.844,0.07378191996495571
44,2020-03-06,288.2497253417969,0.9988,0.112,0.059,0.83,0.09359523349969212
45,2020-03-09,265.4514465332031,0.9966,0.127,0.096,0.777,0.09639598900745402
46,2020-03-10,284.5696716308594,0.9986,0.126,0.07,0.805,0.10446696333342295
47,2020-03-11,274.6864318847656,0.9993,0.125,0.045,0.83,0.1668419797048829
48,2020-03-12,247.5598602294922,0.9853,0.102,0.088,0.81,0.06760941876750699
49,2020-03-13,277.2195739746094,0.9995,0.142,0.064,0.794,0.1008635007796081
50,2020-03-16,241.55612182617188,0.9696,0.084,0.08,0.836,0.1170386565906798
51,2020-03-17,252.1773681640625,0.9992,0.111,0.042,0.846,0.1125646613922476
52,2020-03-18,246.0040740966797,0.9995,0.136,0.056,0.808,0.18679007741507753
53,2020-03-19,244.11917114257812,0.998,0.099,0.044,0.858,0.005209653937332512
54,2020-03-20,228.6211395263672,0.9958,0.115,0.081,0.804,0.047192946941148416
55,2020-03-23,223.76426696777344,0.9981,0.099,0.05,0.851,0.14486558939145144
56,2020-03-24,246.21351623535156,0.9988,0.118,0.031,0.851,0.11038047138047133
57,2020-03-25,244.857177734375,0.9575,0.066,0.052,0.882,0.08699279283518412
58,2020-03-26,257.7423095703125,0.9988,0.119,0.057,0.824,0.12319391835016834
