,Date,AdjClose,Target,Comp,Pos,Neg,Neu
0,2020-06-29,361.779999,364.799988,0.9999,0.116,0.032,0.852
1,2020-06-30,364.799988,364.109985,0.9999,0.11,0.027,0.864
2,2020-07-01,364.109985,366.519989,0.9999,0.11,0.026,0.864
